Agency,Posting Type,NUmber Of Positions,Business Title,Civil Service Title,Title Classification,Job Category,Time Indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency
POLICE DEPARTMENT,Internal,2,Automotive Service Worker,AUTOMOTIVE SERVICE WORKER,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),36474,42419,Annual
DEPARTMENT OF CITY PLANNING,External,1,SENIOR ZONING SPECIALIST,CITY PLANNER,Competitive-1,"Engineering, Architecture, & Planning",,Experienced (non-manager),73294,84288,Annual
DISTRICT ATTORNEY RICHMOND COU,Internal,1,Peer/Credentialed Alcohol and Substance Abuse Counselor (CASAC),COMMUNITY ASSOCIATE,Non-Competitive-5,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),50000,55000,Annual
DEPARTMENT OF CORRECTION,Internal,2,Data Quality Analyst,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis",F,Experienced (non-manager),84468,97138,Annual
NYC HOUSING AUTHORITY,Internal,1,Assistant Director,ADMINISTRATIVE ACCOUNTANT,Competitive-1,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Manager,58700,161534,Annual
LAW DEPARTMENT,External,1,Assistant Deputy Chief of Facilities â Services,CUSTODIAN,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),45811,51766,Annual
HOUSING PRESERVATION & DVLPMNT,External,1,Portfolio Analyst for the Division of Housing Supervision,COMMUNITY COORDINATOR,Non-Competitive-5,"Finance, Accounting, & Procurement",F,Experienced (non-manager),54100,62215,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Industrial Hygienist,INDUSTRIAL HYGIENIST,Competitive-1,Building Operations & Maintenance,F,Entry-Level,30.76,30.76,Hourly
TAXI & LIMOUSINE COMMISSION,Internal,2,Licensing Initiatives Analyst,RESEARCH ASSISTANT,Competitive-1,"Policy, Research & Analysis",F,Experienced (non-manager),45428,68741,Annual
NYC HOUSING AUTHORITY,Internal,1,Director of Property Customer Svc and Training,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),84451,113550,Annual
NYC HOUSING AUTHORITY,External,1,Electrician's Helper,ELECTRICIANS HELPER,Competitive-1,Building Operations & Maintenance,F,Experienced (non-manager),39.9,39.9,Hourly
NYC HOUSING AUTHORITY,Internal,1,Executive Vice President - Strategy & Innovation,DEPUTY EXECUTIVE DIRECTOR (HA),Non-Competitive-5,"Policy, Research & Analysis",F,Executive,88936,223761,Annual
OFFICE OF MANAGEMENT & BUDGET,Internal,1,Analyst  Fiscal,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,51550,65604,Annual
CAMPAIGN FINANCE BOARD,Internal,1,WEBSITE CONTENT MANAGER,ANALYST CFB AL 2&3 ONLY,Pending Classification-2,"Technology, Data & Innovation",F,Experienced (non-manager),60000,80000,Annual
LAW DEPARTMENT,Internal,1,Assistant Corporation Counsel - Commercial and Real Estate Litigation,ASSISTANT CORPORATION COUNSEL,Exempt-4,Legal Affairs,F,Experienced (non-manager),73579,153666,Annual
BRONX DISTRICT ATTORNEY,External,15,Assistant District Attorney Child Abuse/Sex Crimes Bureau,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,"Communications & Intergovernmental Affairs Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),80440,167610,Annual
NYC HOUSING AUTHORITY,Internal,2,Community Planner,ASSOCIATE HOUSING DEVELOPMENT,Competitive-1,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Engineering, Architecture, & Planning",,Experienced (non-manager),74650,109409,Annual
DEPT OF ENVIRONMENT PROTECTION,External,6,Associate Chemist II,ASSOCIATE CHEMIST,Competitive-1,"Engineering, Architecture, & Planning",P,Experienced (non-manager),60039,89049,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Operations Manager,COMMUNITY COORDINATOR,Non-Competitive-5,Administration & Human Resources Social Services,F,Experienced (non-manager),54100,75000,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Summons & Permitting Support Staff,CLERICAL ASSOCIATE,Competitive-1,Administration & Human Resources Communications & Intergovernmental Affairs,,Entry-Level,40017,62820,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Enrollment Specialist,CASEWORKER,Competitive-1,Social Services,F,Experienced (non-manager),41483,47705,Annual
NYC EMPLOYEES RETIREMENT SYS,External,1,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",CERT. IT ADMINISTRATOR WAN,Competitive-1,Information Technology & Telecommunications,F,Experienced (non-manager),87203,131623,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Asset Management Program Planner,CITY PLANNER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),65208,95993,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Senior Payment Processor,ASSOCIATE STAFF ANALYST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),70611,81203,Annual
CONSUMER AND WORKER PROTECTION,Internal,1,Inspector,INSPECTOR (CONSUMER AND WORKER,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),42507,48883,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,DEPUTY COMMISSIONER OF STRATEGIC PARTNERSHIPS,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,Administration & Human Resources Communications & Intergovernmental Affairs Social Services,F,Manager,135000,162000,Annual
OFFICE OF MANAGEMENT & BUDGET,External,1,Unit Head  Closeout,BUDGET ANALYST (OMB),Pending Classification-2,"Finance, Accounting, & Procurement Legal Affairs",F,Manager,98388,98388,Annual
LAW DEPARTMENT,Internal,1,Executive Assistant,"LEGAL SECRETARIAL ASST- L2,3,4",Competitive-1,Administration & Human Resources Legal Affairs,F,Experienced (non-manager),50000,50000,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Civil Engineer Intern,CIVIL ENGINEERING INTERN,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),51413,62260,Annual
DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Project Manager,ARCHITECT,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90114,100000,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,"EXECUTIVE DIRECTOR, OFFICE OF TECHNOLOGY DEVELOPMENT",COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation Social Services",F,Manager,77688,152000,Annual
DEPARTMENT OF CITY PLANNING,Internal,1,ASSOCIATE GIS SPECIALIST,COMPUTER ASSOC (OPERATIONS),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),75000,85000,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Applications Supervisor,CHILD WELFARE SPECIALIST SUPER,Competitive-1,Social Services,F,Experienced (non-manager),81126,83346,Annual
DEPARTMENT OF CORRECTION,External,3,Intervention Specialist,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Entry-Level,54100,62215,Annual
NYC HOUSING AUTHORITY,Internal,1,Senior Writer,ADMINISTRATIVE STAFF ANALYST (,Competitive-1,Legal Affairs,F,Experienced (non-manager),84451,105000,Annual
TECHNOLOGY & INNOVATION,Internal,1,Continuity of Operations College Aide,COLLEGE AIDE (ALL CITY DEPTS),Non-Competitive-5,"Technology, Data & Innovation",,Student,15.5,17.3,Hourly
FINANCIAL INFO SVCS AGENCY,External,1,OMB BUSINESS ANALYST,COMPUTER ASSOC (OPERATIONS),Competitive-1,"Technology, Data & Innovation",,Experienced (non-manager),73358,95000,Annual
FIRE DEPARTMENT,External,1,WTC CASE MANAGEMENT NURSE,CASE - MANAGEMENT NURSE (FIRE,Non-Competitive-5,Health,F,Experienced (non-manager),84744,84744,Annual
DEPARTMENT FOR THE AGING,Internal,1,Coordinator of Mental Health Initiatives,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs Health Social Services,F,Experienced (non-manager),54100,62215,Annual
NYC HOUSING AUTHORITY,External,2,Financial Liaison,ECONOMIST,Competitive-1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),56013,84862,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Assistant Counsel,AGENCY ATTORNEY INTERNE,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),62397,71757,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Deputy, Water Supply Outreach",ADMINISTRATIVE PUBLIC INFORMAT,Competitive-1,Communications & Intergovernmental Affairs,F,Manager,70000,90000,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,TIMEKEEPING SUPERVISOR,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),53057,77124,Annual
DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Auditor General,ADMINISTRATIVE MANAGEMENT AUDI,Competitive-1,"Finance, Accounting, & Procurement",,Experienced (non-manager),97830,231974,Annual
DEPARTMENT OF TRANSPORTATION,Internal,3,Correspondence Liaison,COMMUNITY ASSOCIATE,Non-Competitive-5,Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs,F,Experienced (non-manager),38333,63794,Annual
TECHNOLOGY & INNOVATION,Internal,1,Public Safety Radio Operator,RADIO AND TELEVISION OPERATOR,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),47948,60000,Annual
FINANCIAL INFO SVCS AGENCY,External,1,WEB APPLICATION DEVELOPER LEAD,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),130000,155000,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,Program Officer,CITY RESEARCH SCIENTIST,Non-Competitive-5,Social Services,F,Experienced (non-manager),75504,86830,Annual
DEPARTMENT OF BUSINESS SERV.,External,1,"Deputy Commissioner, WDD",DEPUTY COMMISSIONER (DBS),Exempt-4,Constituent Services & Community Programs,F,Executive,106729,241434,Annual
DISTRICT ATTORNEY RICHMOND COU,Internal,1,Human Capital Associate,COMMUNITY ASSOCIATE,Non-Competitive-5,"Administration & Human Resources Finance, Accounting, & Procurement",F,Entry-Level,50000,55000,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,Grants Analyst,PROJECT MANAGER INTERN#,Competitive-1,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,Entry-Level,51535,59265,Annual
DEPT OF HEALTH/MENTAL HYGIENE,External,2,"Cyber Security Compliance Officer, Office of Chief Information Officer",CYBER SECURITY ANALYST,Competitive-1,"Health Technology, Data & Innovation",F,Experienced (non-manager),78795,110000,Annual
NYC HOUSING AUTHORITY,External,1,HOUSING EXTERMINATOR L1,HOUSING EXTERMINATOR (HA),Competitive-1,Building Operations & Maintenance,F,Entry-Level,33558,54820,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Wastewater Plant Operator,WATERSHED MAINTAINER,Competitive-1,Building Operations & Maintenance,F,Entry-Level,41033,41033,Annual
DEPT OF PARKS & RECREATION,External,1,Chief Information Security Officer,COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation",F,Manager,140000,150000,Annual
HOUSING PRESERVATION & DVLPMNT,Internal,1,Labor Compliance Officer for the Division of Regulatory Compliance,COMMUNITY COORDINATOR,Non-Competitive-5,"Policy, Research & Analysis",F,Experienced (non-manager),54100,62215,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Family Enrichment Center Executive Director,CITY RESEARCH SCIENTIST,Non-Competitive-5,Social Services,F,Experienced (non-manager),94283,111175,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,CIVIL ENGINEER,CIVIL ENGINEER,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),67757,98128,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,1,Gardener II,GARDENER,Competitive-1,"Engineering, Architecture, & Planning Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),55806,69093,Annual
DEPT OF CITYWIDE ADMIN SVCS,External,1,"Project Manager, Agency Planning & Implementation-Healthcare",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Engineering, Architecture, & Planning",F,Experienced (non-manager),75504,86830,Annual
HOUSING PRESERVATION & DVLPMNT,External,1,Mechanical Inspector for the Division of Building Land Development Services,SUPERVISOR OF MECHANICAL INSTA,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),65640,80000,Annual
DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Research and Evaluation Analyst, Bureau of Epidemiology Services",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Health Policy, Research & Analysis",F,Experienced (non-manager),84468,97138,Annual
DEPARTMENT OF SANITATION,Internal,1,"Senior Manager, Zero Waste Schools",COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
HRA/DEPT OF SOCIAL SERVICES,Internal,1,"EXECUTIVE DIRECTOR, HRA TECHNOLOGY/ELIGIBILITY SYSTEMS",COMPUTER SYSTEMS MANAGER,Competitive-1,"Technology, Data & Innovation Social Services",F,Manager,77688,152000,Annual
LAW DEPARTMENT,Internal,3,Assistant Corporation Counsel - Family Court Interstate Child Support,ASSISTANT CORPORATION COUNSEL,Exempt-4,Legal Affairs,F,Experienced (non-manager),73579,133040,Annual
FINANCIAL INFO SVCS AGENCY,External,1,WEBSPHERE ADMINISTRATOR,IT INFRASTRUCTURE ENGINEER,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),120000,130000,Annual
DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Field Operations Monitor,COMMUNITY ASSISTANT,Non-Competitive-5,Constituent Services & Community Programs,P,Experienced (non-manager),32520,42191,Annual
DEPARTMENT OF BUSINESS SERV.,External,1,Program Manager Regulatory Reform,COMMUNITY COORDINATOR,Non-Competitive-5,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual
CONSUMER AND WORKER PROTECTION,External,1,Staff Counsel,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,,Experienced (non-manager),71423,82137,Annual
DEPT OF PARKS & RECREATION,Internal,1,Network Operations Engineer,IT INFRASTRUCTURE ENGINEER,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),85000,95000,Annual
DEPT OF PARKS & RECREATION,Internal,1,Network Operations Engineer,IT INFRASTRUCTURE ENGINEER,Non-Competitive-5,"Technology, Data & Innovation",F,Experienced (non-manager),85000,95000,Annual
NYC HOUSING AUTHORITY,External,1,Director of Project &Operational Excellence,DIRECTOR OF CONSTRUCTION,Non-Competitive-5,"Engineering, Architecture, & Planning",F,Manager,145000,160000,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Case Manager,COMMUNITY COORDINATOR,Non-Competitive-5,Social Services,F,Experienced (non-manager),54100,62215,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,ASSOCIATE PUBLIC HEALTH SANITARIAN II,ASSOCIATE PUBLIC HEALTH SANITA,Competitive-1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),60673,91795,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,EEO Investigator Specialist,AGENCY ATTORNEY,Non-Competitive-5,Legal Affairs,F,Experienced (non-manager),79620,91563,Annual
DEPARTMENT OF CORRECTION,Internal,2,"Deputy Director, Investigations",CONFIDENTIAL AGENCY INVESTIGAT,Non-Competitive-5,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),100000,115000,Annual
DEPARTMENT OF CORRECTION,Internal,1,Director of Program Evaluation,CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis",F,Manager,94283,108426,Annual
BRONX DISTRICT ATTORNEY,Internal,1,"Property Clerk - 	Property Release Unit/Operations",COMMUNITY ASSISTANT,Non-Competitive-5,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),37398,37398,Annual
OFFICE OF THE COMPTROLLER,Internal,1,"Claims Specialist, Level II- Affirmative Claims",CLAIM SPECIALIST,Competitive-1,Legal Affairs,F,Experienced (non-manager),51079,58741,Annual
DEPT OF ENVIRONMENT PROTECTION,External,1,EHS Communications Specialist,COMMUNITY COORDINATOR,Non-Competitive-5,"Engineering, Architecture, & Planning",F,Experienced (non-manager),54100,83981,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Mailroom/CopyCenter Supervisor,CLERICAL ASSOCIATE,Competitive-1,Building Operations & Maintenance Social Services,F,Experienced (non-manager),36390,41848,Annual
DEPARTMENT OF CORRECTION,External,3,Legal Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,Legal Affairs,F,Entry-Level,53057,61015,Annual
DEPARTMENT OF BUSINESS SERV.,Internal,1,"Deputy Commissioner, WDD",DEPUTY COMMISSIONER (DBS),Exempt-4,Constituent Services & Community Programs,F,Executive,106729,241434,Annual
NYC HOUSING AUTHORITY,External,2,Community Planner,ASSOCIATE HOUSING DEVELOPMENT,Competitive-1,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Engineering, Architecture, & Planning",,Experienced (non-manager),74650,109409,Annual
DEPT OF ENVIRONMENT PROTECTION,Internal,2,Electrical Engineering Intern,ELECTRICAL ENGINEERING INTERN,Competitive-1,"Engineering, Architecture, & Planning",F,Entry-Level,51413,62260,Annual
DEPARTMENT OF CITY PLANNING,External,1,SOFTWARE ENGINEER,COMPUTER SPECIALIST (SOFTWARE),Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),81951,90000,Annual
ADMIN FOR CHILDREN'S SVCS,External,1,Senior Communications Specialist,CONFIDENTIAL STRATEGY PLANNER,Non-Competitive-5,Communications & Intergovernmental Affairs Social Services,F,Experienced (non-manager),74710,100000,Annual
FIRE DEPARTMENT,Internal,1,Senior Project Manager,ASSISTANT MECHANICAL ENGINEER,Competitive-1,"Public Safety, Inspections, & Enforcement",,Experienced (non-manager),57078,85646,Annual
DEPT. OF HOMELESS SERVICES,External,2,INCIDENT ANALYST,STAFF ANALYST,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),62470,80008,Annual
TECHNOLOGY & INNOVATION,Internal,1,"Director, Agency Solutions",TELECOMMUNICATION MANAGER,Competitive-1,"Technology, Data & Innovation",,Manager,80931,140000,Annual
DEPARTMENT OF TRANSPORTATION,Internal,1,Energy Manager,CONSTRUCTION PROJECT MANAGER,Competitive-1,"Engineering, Architecture, & Planning Health Building Operations & Maintenance",F,Experienced (non-manager),85000,98128,Annual
DEPT. OF HOMELESS SERVICES,Internal,1,Intake Worker,COMMUNITY ASSOCIATE,Non-Competitive-5,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),38333,63794,Annual
ADMIN FOR CHILDREN'S SVCS,Internal,1,"Executive Director, Strategic Initiatives",CITY RESEARCH SCIENTIST,Non-Competitive-5,"Policy, Research & Analysis Social Services",F,Experienced (non-manager),94283,108426,Annual
TAXI & LIMOUSINE COMMISSION,Internal,1,Policy Analyst,TRANSPORTATION SPECIALIST,Competitive-1,"Policy, Research & Analysis",F,Experienced (non-manager),57078,75000,Annual
OFFICE OF EMERGENCY MANAGEMENT,Internal,1,CERT OPERATIONS & ENGAGEMENT SPECIALIST,EMERGENCY PREPAREDNESS SPECIAL,Pending Classification-2,Constituent Services & Community Programs,P,Experienced (non-manager),57500,69500,Annual
